ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"MP1584EN-LF-Z_C9900026963"	"U9"	"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.4"	"1"	"MP1584EN-LF-Z"	"null"	"LCSC"	"C9900026963"	""
"2"	"MFA_key_up_out"	"2"	"THROUGH-HOLE-1MM"	"1"	""	""	""	"undefined"	""
"3"	"MFA_key_down_out"	"4"	"THROUGH-HOLE-1MM"	"1"	""	""	""	"undefined"	""
"4"	"MFA_reset_out"	"5"	"THROUGH-HOLE-1MM"	"1"	""	""	""	"undefined"	""
"5"	"CCS-_out"	"7"	"THROUGH-HOLE-1MM"	"1"	""	""	""	"undefined"	""
"6"	"CCS_switch_out"	"8"	"THROUGH-HOLE-1MM"	"1"	""	""	""	"undefined"	""
"7"	"CCS_COM"	"9"	"THROUGH-HOLE-1MM"	"1"	""	""	""	"undefined"	""
"8"	"TJA1020T/CM,118"	"U2"	"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"	"1"	"TJA1020T/CM,118"	"NXP(恩智浦)"	"LCSC"	"C6950"	"1.584"
"9"	"TJA1050T/CM,118"	"U3"	"SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL"	"1"	"TJA1050T/CM,118"	"NXP"	"LCSC"	"C6952"	"0.674"
"10"	"ULN2001DTR(XBLW)"	"U4,U5"	"SOP-8_L5.0-W4.0-P1.27-LS6.0-BL"	"2"	"ULN2001DTR(XBLW)"	"XBLW(芯伯乐)"	"LCSC"	"C18723567"	"0.069"
"11"	"SS34"	"D91,D82"	"SMA(DO-214AC)"	"2"	""	"ON"	"LCSC"	"C23848"	"0.058"
"12"	"9.1kΩ"	"R91"	"R0805"	"1"	"RMC08059.1K1%N"	"Tyohm(幸亚电阻)"	"LCSC"	"C325830"	"0.005"
"13"	"27kΩ"	"R92"	"R0805"	"1"	"AECR0805F27K0K9"	"RESI(开步睿思)"	"LCSC"	"C352234"	"0.005"
"14"	"CAN_H"	"1"	"THROUGH-HOLE-1MM"	"1"	""	""	""	"undefined"	""
"15"	"CAN_L"	"3"	"THROUGH-HOLE-1MM"	"1"	""	""	""	"undefined"	""
"16"	"10k"	"R61,R62,R71,R72"	"R0805"	"4"	"SCR0805F10K"	"VO(翔胜)"	"LCSC"	"C3016734"	"0.002"
"17"	"100nF"	"C61,C71"	"C0805"	"2"	"CC0805KRX7R7BB104"	"YAGEO(国巨)"	"LCSC"	"C519980"	"0.006"
"18"	"4.7k"	"R51,R52,R53,R41,R42,R43"	"R0805"	"6"	"RC0805FR-074K7L"	"YAGEO(国巨)"	"LCSC"	"C60816"	"0.002"
"19"	"4.7kΩ"	"R54,R55,R56"	"R0805"	"3"	"RMC08054.7K1%N"	"Tyohm(幸亚电阻)"	"LCSC"	"C269746"	"0.006"
"20"	"22uF"	"C21"	"C0805"	"1"	"CC0805MKX5R8BB226"	"YAGEO(国巨)"	"LCSC"	"C784585"	"0.063"
"21"	"1kΩ"	"R21,R22"	"R0805"	"2"	"APC0805B1K00N"	"Ohmite"	"LCSC"	"C5553672"	"0.265"
"22"	"120kΩ"	"R31"	"R0805"	"1"	"AECR0805F120KK9"	"RESI(开步睿思)"	"LCSC"	"C352274"	"0.011"
"23"	"1uF"	"C91"	"C0805"	"1"	"C0805C105K5RACTU"	"KEMET(基美)"	"LCSC"	"C3018567"	"0.148"
"24"	"10uF"	"C81,C84"	"C1206"	"2"	"CL31A106KBHNNNE"	"SAMSUNG"	"LCSC"	"C13585"	"0.034"
"25"	"100nF"	"C82,C85"	"C0805"	"2"	"CL21B104KBCNNNC"	"SAMSUNG(三星)"	"LCSC"	"C1711"	"0.006"
"26"	"150pF"	"C83"	"0805"	"1"	"?"	""	""	""	""
"27"	"SMAJ16A"	"D81"	"DO214AC_ZENER"	"1"	""	""	""	""	""
"28"	"10uH"	"L81"	"IND-SMD_L4.0-W4.0_FNR40XXS"	"1"	"FNR4030S100MT"	"cjiang(长江微电)"	"LCSC"	"C167879"	"0.079"
"29"	"100kΩ"	"R81,R82,R83"	"R0805"	"3"	"PTFR0805B100KN9"	"RESI(开步睿思)"	"LCSC"	"C328434"	"0.18"
"30"	"24.9kΩ"	"R84"	"R0805"	"1"	"RMC080524.9K1%N"	"Tyohm(幸亚电阻)"	"LCSC"	"C325773"	"0.005"
